2026-08-08 00:57:46,142 | INFO | Training curves saved.
2026-08-08 00:57:46,144 | INFO | Training report generated.
2026-08-08 00:57:46,144 | INFO | Training pipeline completed.
2026-08-08 00:59:25,109 | INFO | Trainer initialized.
2026-08-08 00:59:25,109 | INFO | Trainer validated.
2026-08-08 00:59:25,121 | INFO | Starting training...
2026-08-08 00:59:25,131 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 01:02:17,708 | INFO | Training completed in 0:02:52.586360.
2026-08-08 01:02:17,709 | INFO | Training history saved.
2026-08-08 01:02:17,915 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 01:02:17,915 | INFO | Evaluating model...
2026-08-08 01:02:18,319 | INFO | Model evaluation completed.
2026-08-08 01:02:18,320 | INFO | Metrics exported.
2026-08-08 01:02:19,161 | INFO | Confusion matrix computed and saved.
2026-08-08 01:02:19,613 | INFO | Classification report saved.
2026-08-08 01:02:20,436 | INFO | Training curves saved.
2026-08-08 01:02:20,438 | INFO | Training report generated.
2026-08-08 01:02:20,438 | INFO | Training pipeline completed.
2026-08-08 01:03:09,570 | INFO | Trainer initialized.
2026-08-08 01:03:09,570 | INFO | Trainer validated.
2026-08-08 01:03:09,583 | INFO | Starting training...
2026-08-08 01:03:09,597 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 01:47:08,474 | INFO | Trainer initialized.
2026-08-08 01:47:08,474 | INFO | Trainer validated.
2026-08-08 01:47:08,493 | INFO | Starting training...
2026-08-08 01:47:08,517 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 01:48:11,563 | INFO | Trainer initialized.
2026-08-08 01:48:11,563 | INFO | Trainer validated.
2026-08-08 01:48:11,589 | INFO | Starting training...
2026-08-08 01:48:11,619 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 01:59:29,768 | INFO | Trainer initialized.
2026-08-08 01:59:29,823 | INFO | Trainer validated.
2026-08-08 01:59:29,843 | INFO | Starting training...
2026-08-08 01:59:29,967 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 02:02:13,727 | INFO | Training completed in 0:02:43.883751.
2026-08-08 02:02:13,729 | INFO | Training history saved.
2026-08-08 02:02:13,918 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 02:02:13,918 | INFO | Evaluating model...
2026-08-08 02:02:14,303 | INFO | Model evaluation completed.
2026-08-08 02:02:14,304 | INFO | Metrics exported.
2026-08-08 02:02:15,130 | INFO | Confusion matrix computed and saved.
2026-08-08 02:02:15,590 | INFO | Classification report saved.
2026-08-08 02:02:16,059 | INFO | Sklearn metrics computed and saved.
2026-08-08 02:02:17,657 | INFO | Training curves saved.
2026-08-08 02:02:17,660 | INFO | Training report generated.
2026-08-08 02:02:17,660 | INFO | Training pipeline completed.
2026-08-08 02:09:29,490 | INFO | Trainer initialized.
2026-08-08 02:09:29,491 | INFO | Trainer validated.
2026-08-08 02:09:29,509 | INFO | Starting training...
2026-08-08 02:09:29,529 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 02:12:17,386 | INFO | Training completed in 0:02:47.855179.
2026-08-08 02:12:17,545 | INFO | Training history saved.
2026-08-08 02:12:17,928 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 02:12:17,929 | INFO | Evaluating model...
2026-08-08 02:12:18,473 | INFO | Model evaluation completed.
2026-08-08 02:12:18,476 | INFO | Metrics exported.
2026-08-08 02:12:21,199 | INFO | Confusion matrix computed and saved.
