epoch,accuracy,loss,val_accuracy,val_loss
0,0.4337500035762787,1.2907426357269287,0.8909090757369995,0.6230103969573975
1,0.7149999737739563,0.7385454773902893,0.9272727370262146,0.47117650508880615
2,0.7837499976158142,0.5635174512863159,0.9272727370262146,0.35379913449287415
3,0.831250011920929,0.4586394429206848,0.9454545378684998,0.31372714042663574
4,0.8725000023841858,0.38944724202156067,0.9454545378684998,0.24346446990966797
5,0.8887500166893005,0.36093083024024963,0.9454545378684998,0.25529518723487854
6,0.8962500095367432,0.32247602939605713,0.9454545378684998,0.21552468836307526
7,0.9212499856948853,0.27252236008644104,0.9636363387107849,0.21907305717468262
8,0.9262499809265137,0.25663718581199646,0.9636363387107849,0.2028675079345703
9,0.9449999928474426,0.22760650515556335,0.9090909361839294,0.18655124306678772
10,0.9462500214576721,0.19945646822452545,0.9636363387107849,0.17739075422286987
11,0.9437500238418579,0.1929786652326584,0.9636363387107849,0.19018544256687164
12,0.9474999904632568,0.18504685163497925,0.9818181991577148,0.1685902178287506
13,0.9637500047683716,0.1694481074810028,0.9454545378684998,0.17895740270614624
14,0.9624999761581421,0.15842346847057343,0.9636363387107849,0.16444195806980133
15,0.9674999713897705,0.13939787447452545,0.9818181991577148,0.16686300933361053
16,0.9662500023841858,0.14518246054649353,0.9636363387107849,0.15946100652217865
17,0.9862499833106995,0.11906692385673523,0.9636363387107849,0.1596204936504364
18,0.9762499928474426,0.12402286380529404,0.9818181991577148,0.15009838342666626
19,0.9837499856948853,0.11327356100082397,0.9818181991577148,0.14843179285526276
20,0.9787499904632568,0.12169908732175827,0.9636363387107849,0.14930157363414764
21,0.9737499952316284,0.1098029613494873,0.9636363387107849,0.15295396745204926
22,0.9750000238418579,0.11149657517671585,0.9818181991577148,0.1388418823480606
23,0.9800000190734863,0.11084406077861786,0.9636363387107849,0.15078066289424896
24,0.9837499856948853,0.09751221537590027,0.9636363387107849,0.15160013735294342
25,0.9850000143051147,0.09138576686382294,0.9636363387107849,0.14252665638923645
26,0.9862499833106995,0.08851837366819382,0.9818181991577148,0.13896851241588593
27,0.9900000095367432,0.07873312383890152,0.9636363387107849,0.14479775726795197
28,0.9912499785423279,0.08544936776161194,0.9818181991577148,0.1328330934047699
29,0.9937499761581421,0.07352666556835175,0.9636363387107849,0.14179949462413788
